ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"#\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Learning Name\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_2\" Title=\"Learning Name\" Type=\"Text\" ID=\"{aea6c7d6-1d6a-4edf-82e2-8cf8cfad5534}\" StaticName=\"field_2\" />","<Field ID=\"{a7506883-8091-4635-9178-13d167e2aeb0}\" DisplayName=\"Description\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Note\" />","<Field Name=\"field_4\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Technical area\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" Sortable=\"FALSE\" ID=\"{e7c9fc25-c38a-4d3d-bee9-143aed15d130}\" StaticName=\"field_4\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" AppendOnly=\"FALSE\" />","<Field ID=\"{de21ec7b-8588-40a0-ada8-2c38c997d2e1}\" DisplayName=\"Owner\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{2f4a96de-a845-4eac-b335-740141496112}\" DisplayName=\"Contact details\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{6d44ea99-4442-4b6b-b28a-703467e1b3a2}\" DisplayName=\"Developer\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Focus area\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_8\" Title=\"Focus area\" Type=\"Text\" ID=\"{d907a78f-13a2-4dbd-af10-3d4487a4c90f}\" StaticName=\"field_8\" />","<Field Name=\"field_9\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Language\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" Sortable=\"FALSE\" ID=\"{d9cfd906-fe29-40bc-9400-30ea31069f05}\" StaticName=\"field_9\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" AppendOnly=\"FALSE\" />","<Field ID=\"{c0f0cebd-376a-4119-98b1-d8330f556530}\" DisplayName=\"Platform\" Name=\"field_10\" StaticName=\"field_10\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{1e4a6821-0a93-4b1c-ab3a-52b83511cf2f}\" DisplayName=\"Intended audience\" Name=\"field_11\" StaticName=\"field_11\" Type=\"Text\" />","<Field ID=\"{073ebc50-46aa-48c2-8a3a-8957ddb1cd88}\" DisplayName=\"Modality\" Name=\"field_12\" StaticName=\"field_12\" Type=\"Note\" />","<Field ID=\"{b0666b1b-5863-4129-804a-b6bfd5db3222}\" DisplayName=\"Link\" Name=\"field_14\" StaticName=\"field_14\" Type=\"Note\" />","<Field ID=\"{542498ca-5bdf-4c3e-be33-0d4281b00310}\" DisplayName=\"Identified Gaps/ Deficiences\" Name=\"field_15\" StaticName=\"field_15\" Type=\"Text\" />","<Field ID=\"{02fd8d72-5973-4837-98eb-ecd0034359c8}\" DisplayName=\"Contributor\" Name=\"field_16\" StaticName=\"field_16\" Type=\"Number\" />","<Field ID=\"{faae5f17-c321-4c0c-a365-a29989adc941}\" DisplayName=\"Comment\" Name=\"field_17\" StaticName=\"field_17\" Type=\"Text\" />","<Field Type=\"Text\" DisplayName=\"Sign-off status\" Title=\"Sign-off status\" StaticName=\"_Flow_SignoffStatus\" ID=\"{81c5d389-440b-4b96-9e55-1bb152b9f45b}\" Name=\"_x0024_Resources_x003a_core_x002\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Number\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Learning Name","Description","Technical area","Focus area","Intended audience","Owner","Developer","Contact details","Language","Modality","Platform","Link","Comment","Sign-off status"
"Health and Migration: Regional strategic lines of action on health and migration - 2022","The course is designed to guide public authorities within the health sector, and beyond, on developing inclusive and evidence-based policies, strategies, and programs on health and migration, aimed at improving the health of migrants in countries throughout the Region of the Americas.","Health emergency preparedness and response management","Migration & Health","WHO staff/MoH/HCPs","WHO","PAHO/Virtual campus for public health ","https://campus.paho.org/en/contact","English, Spanish","Online","Virtual campus for public health","https://campus.paho.org/en/course/health-and-migration",,
"Health Cluster Coordination ","The Global Health Cluster (GHC) has developed this Health Cluster Coordination eLearning course in order to increase the skills and knowledge of Health Cluster teams and partners and to strengthen the efficiency and accountability of all stakeholders in responding to humanitarian crises.","Health emergency preparedness and response management","Health cluster coordination"," Health Cluster teams and partners ","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/495459/0_tueews0p/0_ah5tl4il"," ",
"Health Emergency Readiness for Response Operations","This training defines key principles, approaches, and tools to assess your readiness status and plan for anticipatory actions to strengthen your readiness for response operations.","Health emergency preparedness and response management","Emergency Response","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/504475/0_ig03lfgl/0_sapp05yg",,
"Health Security Training for Western Balkans","National Action Plan for Health Security training  in the Western Balkans","Health emergency preparedness and response management","IHR","Multisectoral experts","WHO","HQ/WHE",,"English","In-person",,,,
"Hospital Violence Preparedness Assessment Tool ","The Hospital Preparedness to Violence assessment tool has been created based on the recommendations of the publication ""Ensuring the Preparedness and Safety of Health Care Facilities in Armed Conflict and Other Emergencies"". The purpose is to train evaluators who can facilitate the application of the tool to verify hospital preparedness for violence","Health emergency preparedness and response management","Preventing violence against health workers","WHO staff/MoH/HCPs","WHO","PAHO/Virtual campus for public health ","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/28750",,
"How to install Go.Data","This tutorial is a compilation of short videos that explains, in detail, the different ways in which Go.Data can be installed depending on the user needs.","Surveillance","Outbreak investigation tool","WHO staff","WHO","HQ/WHE/GOARN","goarn@who.int","English, Spanish","Online","OpenWHO","https://openwho.org/playlist/dedicated/502240/0_glt2e3wv/0_t0bf5iq1"," ",
"International Coordinating Group on Vaccine Provision","Examine foundational understanding of the ICG and its mechanism to access the emergency vaccine stockpile for Ebola, Yellow Fever, Cholera and Meningitis.","Health services provision","Vaccines","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/channel/International%2BCoordinating%2BGroup%2Bon%2BVaccine%2BProvision/528037"," ",
"IDSR Training","Provide you with additional information and resources to effectively conduct Integrated Disease Surveillance and Response (IDSR) activities.","Surveillance","Integrated disease surveillance and response","WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/channel/Integrated+disease+surveillance+and+response/500000",,
"IMS and ERF training for WCOs","Training package for WCO on IMS, ERF and BCP","Health emergency preparedness and response management","WHO IMS","WCO ","WHO","HQ/WHE",,"English","In-person",,,,
"Incident Command System for Hospitals (ICS-H)","Provide a framework for first responders to implement the Hospital Incident Command System (HCS) to address incidents of any size and complexity.","Health emergency preparedness and response management","Incident command system","WHO staff/MoH/HCPs","WHO","PAHO/Virtual campus for public health ","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/29200",,
"Infectious Substances Shipping Training (e-ISST) Global","Contribute to improving compliance with applicable regulations, ensuring safety of staff, the public and the environment. Compliance also increases access to carrier services, and subsequent timely package delivery.","Laboratory","Infectious substances shipping","WHO staff","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/course/index.php?categoryid=43"," ",
"Influenza sentinel surveillance training","Learn how to analyse, summarise, report, present, and interpret data collected within a sentinel influenza surveillance system.","Surveillance","Surveillance","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501679/0_9dc1d2ag/0_7ity3lsm"," ",
"Influenza surveillance data analysis and bulletin writing workshop","Workshop to build capacity in influenza surveillance data analysis, threshold setting and bulletin writing ","Surveillance","Surveillance","NFPs/surveillance staff","WHO","HQ/WHE",,"English","In-person",,,,
"Influenza surveillance data threshold setting workshop","Review approach and support in application of Pandemic Influenza Severity Assessment and appyling threshold setting to inluenza/syndromic surveillance data using the moving epidemic method","Surveillance","Surveillance","NFPs/surveillance staff","WHO","HQ/WHE",,"English","In-person",,,,
"Infodemic Management 101","Course is for anyone interested in understanding what an infodemic is, how it dramatically affects public health and what we can do about it now and into the future","Risk communication and community engagement (RCCE)","COVID-19","WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/499738/0_47ngign5/0_q6tpx5f6"," ",
"Infodemic Management: Addressing health misinformation and disinformation","This course introduces the learners to the concept of health misinformation in an infodemic management context, what harms it can cause, how it spreads, and how to prevent and manage it. It also dives deeper into the difference between misinformation and disinformation with an overview of how threat actors weaponize information during public health emergencies to cause harm.","Risk communication and community engagement (RCCE)","Infodemic","Member states/ MoH/WHO staff","WHO","HQ/WHE/EPP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/499738/0_4tojm0ij/0_5zupie62
",,
"Infodemic Management: Defining a taxonomy for social listening","When practicing social listening activities for public health purposes such as infodemic management, health professionals need a taxonomy adapted to their questions and to the domain they cover. Tailoring their search strategy to collect data relevant for infodemic insights generation will allow them to build strong and evidence-based recommendations for public health action. This course will equip health public health workers to design a taxonomy for social listening adapted to their needs.","Risk communication and community engagement (RCCE)","Infodemic","Member states/ MoH/WHO staff","WHO","HQ/WHE/EPP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/499738/0_fsg88i20/0_mbihfi83",,
