source_row,learning_name,platform,modality,languages,link,final_url,ok,status_code,checked_at_utc,error
1,Health and Migration: Regional strategic lines of action on health and migration - 2022,Virtual campus for public health,online,"English, Spanish",https://campus.paho.org/en/course/health-and-migration,https://campus.paho.org/en/course/health-and-migration,true,200,2026-01-29T09:11:04.268031+00:00,
2,Health Cluster Coordination,OpenWHO,online,English,https://openwho.org/playlist/dedicated/495459/0_tueews0p/0_ah5tl4il,https://openwho.org/playlist/dedicated/495459/0_tueews0p/0_ah5tl4il,true,200,2026-01-29T09:11:05.083345+00:00,
3,Health Emergency Readiness for Response Operations,OpenWHO,online,English,https://openwho.org/playlist/dedicated/504475/0_ig03lfgl/0_sapp05yg,https://openwho.org/playlist/dedicated/504475/0_ig03lfgl/0_sapp05yg,true,200,2026-01-29T09:11:05.706920+00:00,
4,Health Security Training for Western Balkans,,in_person,English,,,false,,2026-01-29T09:11:06.473408+00:00,empty url
5,Hospital Violence Preparedness Assessment Tool,Virtual campus for public health,online,Spanish,https://www.campusvirtualsp.org/es/node/28750,https://campus.paho.org/es/curso/herramienta-de-evaluacion-de-la-preparacion-hospitalaria-frente-la-violencia,true,200,2026-01-29T09:11:06.473408+00:00,
6,How to install Go.Data,OpenWHO,online,"English, Spanish",https://openwho.org/playlist/dedicated/502240/0_glt2e3wv/0_t0bf5iq1,https://openwho.org/playlist/dedicated/502240/0_glt2e3wv/0_t0bf5iq1,true,200,2026-01-29T09:11:07.753452+00:00,
7,International Coordinating Group on Vaccine Provision,OpenWHO,online,English,https://openwho.org/channel/International%2BCoordinating%2BGroup%2Bon%2BVaccine%2BProvision/528037,https://openwho.org/channel/International%2BCoordinating%2BGroup%2Bon%2BVaccine%2BProvision/528037,true,200,2026-01-29T09:11:08.246302+00:00,
8,IDSR Training,OpenWHO,online,English,https://openwho.org/channel/Integrated+disease+surveillance+and+response/500000,https://openwho.org/channel/Integrated+disease+surveillance+and+response/500000,true,200,2026-01-29T09:11:08.928961+00:00,
9,IMS and ERF training for WCOs,,in_person,English,,,false,,2026-01-29T09:11:09.324621+00:00,empty url
10,Incident Command System for Hospitals (ICS-H),Virtual campus for public health,online,Spanish,https://www.campusvirtualsp.org/es/node/29200,https://campus.paho.org/es/curso/sistema-de-comando-de-incidentes-para-hospitales,true,200,2026-01-29T09:11:09.324621+00:00,
11,Infectious Substances Shipping Training (e-ISST) Global,HSLP,online,English,https://extranet.who.int/hslp/training/course/index.php?categoryid=43,https://extranet.who.int/hslp/training/course/index.php?categoryid=43,false,,2026-01-29T09:11:10.377011+00:00,"HTTPSConnectionPool(host='extranet.who.int', port=443): Read timed out. (read timeout=20.0)"
12,Influenza sentinel surveillance training,OpenWHO,online,English,https://openwho.org/playlist/dedicated/501679/0_9dc1d2ag/0_7ity3lsm,https://openwho.org/playlist/dedicated/501679/0_9dc1d2ag/0_7ity3lsm,true,200,2026-01-29T09:13:17.681749+00:00,
13,Influenza surveillance data analysis and bulletin writing workshop,,in_person,English,,,false,,2026-01-29T09:13:18.380120+00:00,empty url
14,Influenza surveillance data threshold setting workshop,,in_person,English,,,false,,2026-01-29T09:13:18.380120+00:00,empty url
15,Infodemic Management 101,OpenWHO,online,English,https://openwho.org/playlist/dedicated/499738/0_47ngign5/0_q6tpx5f6,https://openwho.org/playlist/dedicated/499738/0_47ngign5/0_q6tpx5f6,true,200,2026-01-29T09:13:18.380120+00:00,
16,Infodemic Management: Addressing health misinformation and disinformation,OpenWHO,online,English,https://openwho.org/playlist/dedicated/499738/0_4tojm0ij/0_5zupie62,https://openwho.org/playlist/dedicated/499738/0_4tojm0ij/0_5zupie62,true,200,2026-01-29T09:13:19.078201+00:00,
